ID;SBI;SBI_letter;Datum;Voorbeeldbedrijf;KVK;Ziekteverzyuim 2022;Ziekteverzuim 2023;Ziekteverzuim 2024;Gem. maandloon (excl. Overwerk);Gem. jaarloon (excl. Overwerk);Totale loonsom;Sectorgrootte;Man;Man-geb-datum;Vrouw;Vrouw-geb.datum;Aantal medewerkers;Gender dominance;Age dominance;Average age;Premie prijs_CB;Price_without_overhead;Estimated_SickLeave_CB;PriceCB from total wage;Premie prijs/pp_CB;UWV_Fixed_costs;UWV_Variable costs;Sickleave_new_model_C90;UWV_Premium_Price;UWV_Premium from Total wage;UWV_Premium_Price/PP;Difference_ABS;Difference_PP;Difference_%;Difference_Ziekteverzuim;Actuals_2024;Difference_Actuals_CB;Difference_actuals_UWV;Percentage_of_Total_Wage_UWV;Percentage_of_Total_Wage_CB;Difference_Percentage_Total_wage;Comeptitive;;;;;;;;
R Cultuur, sport en recreatie-2025Q1-10 tot 100 werkzame personen;R Cultuur, sport en recreatie;R;2025Q1;Rijksmuseum;41169522;5,2;4,6;4,9; € 2.275 ; € 27.300 ; € 1.337.700 ;10 tot 100 werkzame personen;39;1970;10;1980;49;Men;Old;52; € 136.506,96 ; € 118.701,70 ;8,87%;10,20%; € 2.785,86 ;315;15%;4,38; € 67.690,15 ;5,06%; € 1.381,43 ; € -68.816,81 ; € -1.404,42 ;-50%;4,5%;4,6%;-4,3%;0,2%;5,1%;10,2%;50,4%;Yes;;;;;;;;
S Overige dienstverlening-2025Q1-10 tot 100 werkzame personen;S Overige dienstverlening;S;2025Q1;ANWB;17097279;5,4;5;5,2; € 2.929 ; € 35.148 ; € 1.722.252 ;10 tot 100 werkzame personen;39;1970;10;1980;49;Men;Old;52; € 208.342,68 ; € 181.167,55 ;10,52%;12,10%; € 4.251,89 ;315;15%;4,30; € 85.409,44 ;4,96%; € 1.743,05 ; € -122.933,24 ; € -2.508,84 ;-59%;6,2%;4,4%;-6,1%;0,1%;5,0%;12,1%;59,0%;Yes;;;;;;;;
A Landbouw, bosbouw en visserij-2025Q1-10 tot 100 werkzame personen;A Landbouw, bosbouw en visserij;A;2025Q1;vof J.J.C. de Man;80496377;3,7;3,6;3,65; € 2.522 ; € 30.264 ; € 1.482.936 ;10 tot 100 werkzame personen;10;1980;39;1970;49;Woman;Old;52; € 190.027,32 ; € 165.241,15 ;11,14%;12,81%; € 3.878,11 ;315;15%;3,55; € 60.815,34 ;4,10%; € 1.241,13 ; € -129.211,98 ; € -2.636,98 ;-68%;7,6%;3,5%;-7,6%;0,0%;4,1%;12,8%;68,0%;Yes;;;;;;;;
B Delfstoffenwinning-2025Q1-10 tot 100 werkzame personen;B Delfstoffenwinning;B;2025Q1;RGV Delfstoffen B.V.;8112449;4,7;4,8;4,75; € 6.393 ; € 76.716 ; € 3.759.084 ;10 tot 100 werkzame personen;10;1980;39;1970;49;Woman;Old;52; € 371.440,20 ; € 322.991,48 ;8,59%;9,88%; € 7.580,41 ;315;15%;4,49; € 194.269,12 ;5,17%; € 3.964,68 ; € -177.171,08 ; € -3.615,74 ;-48%;4,1%;4,6%;-4,0%;0,1%;5,2%;9,9%;47,7%;Yes;;;;;;;;
C Industrie-2025Q1-10 tot 100 werkzame personen;C Industrie;C;2025Q1;Philips Nederland B.V.;17001910;6,5;6,1;6,3; € 4.093 ; € 49.116 ; € 2.406.684 ;10 tot 100 werkzame personen;10;1980;39;1970;49;Woman;Old;52; € 191.837,04 ; € 166.814,82 ;6,93%;7,97%; € 3.915,04 ;315;15%;5,82; € 161.374,98 ;6,71%; € 3.293,37 ; € -30.462,06 ; € -621,67 ;-16%;1,1%;6,1%;-0,8%;0,3%;6,7%;8,0%;15,9%;Yes;;;;;;;;
D Energievoorziening-2025Q1-10 tot 100 werkzame personen;D Energievoorziening;D;2025Q1;Essent N.V.;17115973;5;4,8;4,9; € 5.243 ; € 62.916 ; € 3.082.884 ;10 tot 100 werkzame personen;10;1980;39;1970;49;Woman;Old;52; € 305.184,00 ; € 265.377,39 ;8,61%;9,90%; € 6.228,24 ;315;15%;4,51; € 160.062,57 ;5,19%; € 3.266,58 ; € -145.121,43 ; € -2.961,66 ;-48%;4,1%;4,7%;-3,9%;0,2%;5,2%;9,9%;47,6%;Yes;;;;;;;;
E Waterbedrijven en afvalbeheer-2025Q1-10 tot 100 werkzame personen;E Waterbedrijven en afvalbeheer;E;2025Q1;Vitens N.V.;5069581;6,7;6,3;6,5; € 3.934 ; € 47.208 ; € 2.313.192 ;10 tot 100 werkzame personen;10;1980;39;1970;49;Woman;Old;52; € 282.498,00 ; € 245.650,43 ;10,62%;12,21%; € 5.765,27 ;315;15%;5,74; € 152.929,85 ;6,61%; € 3.121,02 ; € -129.568,15 ; € -2.644,25 ;-46%;4,9%;6,5%;-4,1%;0,8%;6,6%;12,2%;45,9%;Yes;;;;;;;;
F Bouwnijverheid-2025Q1-10 tot 100 werkzame personen;F Bouwnijverheid;F;2025Q1;BAM Groep nv;30058019;5,3;4,8;5,05; € 4.197 ; € 50.364 ; € 2.467.836 ;10 tot 100 werkzame personen;10;1980;39;1970;49;Woman;Old;52; € 249.840,48 ; € 217.252,59 ;8,80%;10,12%; € 5.098,79 ;315;15%;4,08; € 116.163,78 ;4,71%; € 2.370,69 ; € -133.676,70 ; € -2.728,10 ;-54%;4,7%;4,6%;-4,2%;0,5%;4,7%;10,1%;53,5%;Yes;;;;;;;;
G Handel-2025Q1-10 tot 100 werkzame personen;G Handel;G;2025Q1;Ahold Delhaize;34166262;5;4,6;4,8; € 2.534 ; € 30.408 ; € 1.489.992 ;10 tot 100 werkzame personen;10;1980;39;1970;49;Woman;Old;52; € 140.710,20 ; € 122.356,70 ;8,21%;9,44%; € 2.871,64 ;315;15%;4,61; € 79.243,11 ;5,32%; € 1.617,21 ; € -61.467,09 ; € -1.254,43 ;-44%;3,6%;4,6%;-3,6%;0,0%;5,3%;9,4%;43,7%;Yes;;;;;;;;
H Vervoer en opslag-2025Q1-10 tot 100 werkzame personen;H Vervoer en opslag;H;2025Q1;KLM Royal Dutch Airlines;33014286;6,4;6,3;6,35; € 3.476 ; € 41.712 ; € 2.043.888 ;10 tot 100 werkzame personen;10;1980;39;1970;49;Woman;Old;52; € 250.577,52 ; € 217.893,50 ;10,66%;12,26%; € 5.113,83 ;315;15%;5,81; € 136.917,20 ;6,70%; € 2.794,23 ; € -113.660,32 ; € -2.319,60 ;-45%;4,8%;6,2%;-4,5%;0,4%;6,7%;12,3%;45,4%;Yes;;;;;;;;
I Horeca-2025Q1-10 tot 100 werkzame personen;I Horeca;I;2025Q1;Van der Valk Hotels & Restaurants;61988243;4,7;3,9;4,3; € 1.401 ; € 16.812 ; € 823.788 ;10 tot 100 werkzame personen;10;1980;39;1970;49;Woman;Old;52; € 115.266,96 ; € 100.232,14 ;12,17%;13,99%; € 2.352,39 ;315;15%;3,80; € 36.309,22 ;4,41%; € 741,00 ; € -78.957,74 ; € -1.611,38 ;-68%;8,4%;3,4%;-8,8%;-0,4%;4,4%;14,0%;68,5%;Yes;;;;;;;;
J Informatie en communicatie-2025Q1-10 tot 100 werkzame personen;J Informatie en communicatie;J;2025Q1;KPN N.V.;2045200;3,9;3,9;3,9; € 4.813 ; € 57.756 ; € 2.830.044 ;10 tot 100 werkzame personen;10;1980;39;1970;49;Woman;Old;52; € 271.453,80 ; € 236.046,78 ;8,34%;9,59%; € 5.539,87 ;315;15%;3,92; € 128.015,70 ;4,52%; € 2.612,57 ; € -143.438,10 ; € -2.927,31 ;-53%;4,4%;3,8%;-4,5%;-0,1%;4,5%;9,6%;52,8%;Yes;;;;;;;;
K Financiële dienstverlening-2025Q1-10 tot 100 werkzame personen;K Financiële dienstverlening;K;2025Q1;ING Bank N.V.;33031431;3,2;3,3;3,25; € 5.564 ; € 66.768 ; € 3.271.632 ;10 tot 100 werkzame personen;10;1980;39;1970;49;Woman;Old;52; € 321.914,40 ; € 279.925,57 ;8,56%;9,84%; € 6.569,68 ;315;15%;3,55; € 134.024,81 ;4,10%; € 2.735,20 ; € -187.889,59 ; € -3.834,48 ;-58%;5,0%;3,8%;-4,8%;0,2%;4,1%;9,8%;58,4%;Yes;;;;;;;;
L Verhuur en handel van onroerend goed-2025Q1-10 tot 100 werkzame personen;L Verhuur en handel van onroerend goed;L;2025Q1;Vesteda Investment Management B.V.;14071789;4,3;4,2;4,25; € 3.940 ; € 47.280 ; € 2.316.720 ;10 tot 100 werkzame personen;10;1980;39;1970;49;Woman;Old;52; € 277.476,24 ; € 241.283,69 ;10,41%;11,98%; € 5.662,78 ;315;15%;3,57; € 95.327,55 ;4,11%; € 1.945,46 ; € -182.148,69 ; € -3.717,32 ;-66%;6,8%;3,8%;-6,6%;0,2%;4,1%;12,0%;65,6%;Yes;;;;;;;;
M Specialistische zakelijke diensten-2025Q1-10 tot 100 werkzame personen;M Specialistische zakelijke diensten;M;2025Q1;Deloitte Nederland;24283607;3,8;3,6;3,7; € 4.519 ; € 54.228 ; € 2.657.172 ;10 tot 100 werkzame personen;10;1980;39;1970;49;Woman;Old;52; € 179.028,12 ; € 155.676,63 ;5,86%;6,74%; € 3.653,64 ;315;15%;3,19; € 97.831,09 ;3,68%; € 1.996,55 ; € -81.197,03 ; € -1.657,08 ;-45%;2,7%;3,4%;-2,5%;0,2%;3,7%;6,7%;45,4%;Yes;;;;;;;;
N Verhuur en overige zakelijke diensten-2025Q1-10 tot 100 werkzame personen;N Verhuur en overige zakelijke diensten;N;2025Q1;Randstad Nederland B.V.;33149482;4,9;4,6;4,75; € 2.339 ; € 28.068 ; € 1.375.332 ;10 tot 100 werkzame personen;10;1980;39;1970;49;Woman;Old;52; € 191.848,20 ; € 166.824,52 ;12,13%;13,95%; € 3.915,27 ;315;15%;4,46; € 70.840,32 ;5,15%; € 1.445,72 ; € -121.007,88 ; € -2.469,55 ;-63%;7,7%;4,7%;-7,4%;0,2%;5,2%;13,9%;63,1%;Yes;;;;;;;;
O Openbaar bestuur en overheidsdiensten-2025Q1-10 tot 100 werkzame personen;O Openbaar bestuur en overheidsdiensten;O;2025Q1;Gemeente Utrecht;30280353;6,1;6;6,05; € 4.431 ; € 53.172 ; € 2.605.428 ;10 tot 100 werkzame personen;10;1980;39;1970;49;Woman;Old;52; € 249.116,04 ; € 216.622,64 ;8,31%;9,56%; € 5.084,00 ;315;15%;5,66; € 169.798,77 ;6,52%; € 3.465,28 ; € -79.317,27 ; € -1.618,72 ;-32%;2,7%;6,1%;-2,2%;0,4%;6,5%;9,6%;31,8%;Yes;;;;;;;;
P Onderwijs-2025Q1-10 tot 100 werkzame personen;P Onderwijs;P;2025Q1;Universiteit van Amsterdam;34370207;5,7;5,6;5,65; € 3.599 ; € 43.188 ; € 2.116.212 ;10 tot 100 werkzame personen;10;1980;39;1970;49;Woman;Old;52; € 291.261,72 ; € 253.271,06 ;11,97%;13,76%; € 5.944,12 ;315;15%;5,34; € 130.253,59 ;6,16%; € 2.658,24 ; € -161.008,13 ; € -3.285,88 ;-55%;6,6%;5,6%;-6,4%;0,3%;6,2%;13,8%;55,3%;Yes;;;;;;;;
Q Gezondheids- en welzijnszorg-2025Q1-10 tot 100 werkzame personen;Q Gezondheids- en welzijnszorg;Q;2025Q1;Vrije Universiteit;53815211;7,9;7,4;7,65; € 2.847 ; € 34.164 ; € 1.674.036 ;10 tot 100 werkzame personen;10;1980;39;1970;49;Woman;Old;52; € 269.925,12 ; € 234.717,50 ;14,02%;16,12%; € 5.508,68 ;315;15%;6,95; € 134.119,55 ;8,01%; € 2.737,13 ; € -135.805,57 ; € -2.771,54 ;-50%;7,1%;7,3%;-6,7%;0,3%;8,0%;16,1%;50,3%;Yes;;;;;;;;
R Cultuur, sport en recreatie-2025Q1-10 tot 100 werkzame personen;R Cultuur, sport en recreatie;R;2025Q1;Rijksmuseum;41169522;5,2;4,6;4,9; € 2.275 ; € 27.300 ; € 1.337.700 ;10 tot 100 werkzame personen;10;1980;39;1970;49;Woman;Old;52; € 175.682,40 ; € 152.767,30 ;11,42%;13,13%; € 3.585,36 ;315;15%;4,38; € 67.690,15 ;5,06%; € 1.381,43 ; € -107.992,25 ; € -2.203,92 ;-61%;7,0%;4,6%;-6,8%;0,2%;5,1%;13,1%;61,5%;Yes;;;;;;;;
S Overige dienstverlening-2025Q1-10 tot 100 werkzame personen;S Overige dienstverlening;S;2025Q1;ANWB;17097279;5,4;5;5,2; € 2.929 ; € 35.148 ; € 1.722.252 ;10 tot 100 werkzame personen;10;1980;39;1970;49;Woman;Old;52; € 276.529,68 ; € 240.460,59 ;13,96%;16,06%; € 5.643,46 ;315;15%;4,30; € 85.409,44 ;4,96%; € 1.743,05 ; € -191.120,24 ; € -3.900,41 ;-69%;9,7%;4,4%;-9,6%;0,1%;5,0%;16,1%;69,1%;Yes;;;;;;;;
A Landbouw, bosbouw en visserij-2025Q1-10 tot 100 werkzame personen;A Landbouw, bosbouw en visserij;A;2025Q1;vof J.J.C. de Man;80496377;3,7;3,6;3,65; € 2.522 ; € 30.264 ; € 1.482.936 ;10 tot 100 werkzame personen;39;1995;10;1998;49;Men;Young;29; € 65.642,28 ; € 57.080,24 ;3,85%;4,43%; € 1.339,64 ;315;15%;3,55; € 60.815,34 ;4,10%; € 1.241,13 ; € -4.826,94 ; € -98,51 ;-7%;0,3%;3,5%;-0,3%;0,0%;4,1%;4,4%;7,4%;Yes;;;;;;;;
B Delfstoffenwinning-2025Q1-10 tot 100 werkzame personen;B Delfstoffenwinning;B;2025Q1;RGV Delfstoffen B.V.;8112449;4,7;4,8;4,75; € 6.393 ; € 76.716 ; € 3.759.084 ;10 tot 100 werkzame personen;39;1995;10;1998;49;Men;Young;29; € 119.044,56 ; € 103.517,01 ;2,75%;3,17%; € 2.429,48 ;315;15%;4,49; € 194.269,12 ;5,17%; € 3.964,68 ; € 75.224,56 ; € 1.535,20 ;63%;-1,7%;4,6%;1,8%;0,1%;5,2%;3,2%;-63,2%;No;;;;;;;;
C Industrie-2025Q1-10 tot 100 werkzame personen;C Industrie;C;2025Q1;Philips Nederland B.V.;17001910;6,5;6,1;6,3; € 4.093 ; € 49.116 ; € 2.406.684 ;10 tot 100 werkzame personen;39;1995;10;1998;49;Men;Young;29; € 64.135,56 ; € 55.770,05 ;2,32%;2,66%; € 1.308,89 ;315;15%;5,82; € 161.374,98 ;6,71%; € 3.293,37 ; € 97.239,42 ; € 1.984,48 ;152%;-3,5%;6,1%;3,8%;0,3%;6,7%;2,7%;-151,6%;No;;;;;;;;
D Energievoorziening-2025Q1-10 tot 100 werkzame personen;D Energievoorziening;D;2025Q1;Essent N.V.;17115973;5;4,8;4,9; € 5.243 ; € 62.916 ; € 3.082.884 ;10 tot 100 werkzame personen;39;1995;10;1998;49;Men;Young;29; € 97.875,72 ; € 85.109,32 ;2,76%;3,17%; € 1.997,46 ;315;15%;4,51; € 160.062,57 ;5,19%; € 3.266,58 ; € 62.186,85 ; € 1.269,12 ;64%;-1,7%;4,7%;1,9%;0,2%;5,2%;3,2%;-63,5%;No;;;;;;;;
E Waterbedrijven en afvalbeheer-2025Q1-10 tot 100 werkzame personen;E Waterbedrijven en afvalbeheer;E;2025Q1;Vitens N.V.;5069581;6,7;6,3;6,5; € 3.934 ; € 47.208 ; € 2.313.192 ;10 tot 100 werkzame personen;39;1995;10;1998;49;Men;Young;29; € 90.597,48 ; € 78.780,42 ;3,41%;3,92%; € 1.848,93 ;315;15%;5,74; € 152.929,85 ;6,61%; € 3.121,02 ; € 62.332,37 ; € 1.272,09 ;69%;-2,3%;6,5%;3,1%;0,8%;6,6%;3,9%;-68,8%;No;;;;;;;;
F Bouwnijverheid-2025Q1-10 tot 100 werkzame personen;F Bouwnijverheid;F;2025Q1;BAM Groep nv;30058019;5,3;4,8;5,05; € 4.197 ; € 50.364 ; € 2.467.836 ;10 tot 100 werkzame personen;39;1995;10;1998;49;Men;Young;29; € 80.365,68 ; € 69.883,20 ;2,83%;3,26%; € 1.640,12 ;315;15%;4,08; € 116.163,78 ;4,71%; € 2.370,69 ; € 35.798,10 ; € 730,57 ;45%;-1,3%;4,6%;1,8%;0,5%;4,7%;3,3%;-44,5%;No;;;;;;;;
G Handel-2025Q1-10 tot 100 werkzame personen;G Handel;G;2025Q1;Ahold Delhaize;34166262;5;4,6;4,8; € 2.534 ; € 30.408 ; € 1.489.992 ;10 tot 100 werkzame personen;39;1995;10;1998;49;Men;Young;29; € 50.398,44 ; € 43.824,73 ;2,94%;3,38%; € 1.028,54 ;315;15%;4,61; € 79.243,11 ;5,32%; € 1.617,21 ; € 28.844,67 ; € 588,67 ;57%;-1,7%;4,6%;1,7%;0,0%;5,3%;3,4%;-57,2%;No;;;;;;;;
H Vervoer en opslag-2025Q1-10 tot 100 werkzame personen;H Vervoer en opslag;H;2025Q1;KLM Royal Dutch Airlines;33014286;6,4;6,3;6,35; € 3.476 ; € 41.712 ; € 2.043.888 ;10 tot 100 werkzame personen;39;1995;10;1998;49;Men;Young;29; € 81.018,24 ; € 70.450,64 ;3,45%;3,96%; € 1.653,43 ;315;15%;5,81; € 136.917,20 ;6,70%; € 2.794,23 ; € 55.898,96 ; € 1.140,80 ;69%;-2,4%;6,2%;2,8%;0,4%;6,7%;4,0%;-69,0%;No;;;;;;;;
I Horeca-2025Q1-10 tot 100 werkzame personen;I Horeca;I;2025Q1;Van der Valk Hotels & Restaurants;61988243;4,7;3,9;4,3; € 1.401 ; € 16.812 ; € 823.788 ;10 tot 100 werkzame personen;39;1995;10;1998;49;Men;Young;29; € 44.404,44 ; € 38.612,56 ;4,69%;5,39%; € 906,21 ;315;15%;3,80; € 36.309,22 ;4,41%; € 741,00 ; € -8.095,22 ; € -165,21 ;-18%;0,9%;3,4%;-1,3%;-0,4%;4,4%;5,4%;18,2%;Yes;;;;;;;;
J Informatie en communicatie-2025Q1-10 tot 100 werkzame personen;J Informatie en communicatie;J;2025Q1;KPN N.V.;2045200;3,9;3,9;3,9; € 4.813 ; € 57.756 ; € 2.830.044 ;10 tot 100 werkzame personen;39;1995;10;1998;49;Men;Young;29; € 88.078,56 ; € 76.590,05 ;2,71%;3,11%; € 1.797,52 ;315;15%;3,92; € 128.015,70 ;4,52%; € 2.612,57 ; € 39.937,14 ; € 815,04 ;45%;-1,2%;3,8%;1,1%;-0,1%;4,5%;3,1%;-45,3%;No;;;;;;;;
K Financiële dienstverlening-2025Q1-10 tot 100 werkzame personen;K Financiële dienstverlening;K;2025Q1;ING Bank N.V.;33031431;3,2;3,3;3,25; € 5.564 ; € 66.768 ; € 3.271.632 ;10 tot 100 werkzame personen;39;1995;10;1998;49;Men;Young;29; € 103.249,20 ; € 89.781,91 ;2,74%;3,16%; € 2.107,13 ;315;15%;3,55; € 134.024,81 ;4,10%; € 2.735,20 ; € 30.775,61 ; € 628,07 ;30%;-0,8%;3,8%;1,1%;0,2%;4,1%;3,2%;-29,8%;No;;;;;;;;
L Verhuur en handel van onroerend goed-2025Q1-10 tot 100 werkzame personen;L Verhuur en handel van onroerend goed;L;2025Q1;Vesteda Investment Management B.V.;14071789;4,3;4,2;4,25; € 3.940 ; € 47.280 ; € 2.316.720 ;10 tot 100 werkzame personen;39;1995;10;1998;49;Men;Young;29; € 88.829,04 ; € 77.242,64 ;3,33%;3,83%; € 1.812,84 ;315;15%;3,57; € 95.327,55 ;4,11%; € 1.945,46 ; € 6.498,51 ; € 132,62 ;7%;-0,2%;3,8%;0,5%;0,2%;4,1%;3,8%;-7,3%;No;;;;;;;;
M Specialistische zakelijke diensten-2025Q1-10 tot 100 werkzame personen;M Specialistische zakelijke diensten;M;2025Q1;Deloitte Nederland;24283607;3,8;3,6;3,7; € 4.519 ; € 54.228 ; € 2.657.172 ;10 tot 100 werkzame personen;39;1995;10;1998;49;Men;Young;29; € 59.455,32 ; € 51.700,28 ;1,95%;2,24%; € 1.213,37 ;315;15%;3,19; € 97.831,09 ;3,68%; € 1.996,55 ; € 38.375,77 ; € 783,18 ;65%;-1,2%;3,4%;1,5%;0,2%;3,7%;2,2%;-64,5%;No;;;;;;;;
N Verhuur en overige zakelijke diensten-2025Q1-10 tot 100 werkzame personen;N Verhuur en overige zakelijke diensten;N;2025Q1;Randstad Nederland B.V.;33149482;4,9;4,6;4,75; € 2.339 ; € 28.068 ; € 1.375.332 ;10 tot 100 werkzame personen;39;1995;10;1998;49;Men;Young;29; € 67.506,96 ; € 58.701,70 ;4,27%;4,91%; € 1.377,69 ;315;15%;4,46; € 70.840,32 ;5,15%; € 1.445,72 ; € 3.333,36 ; € 68,03 ;5%;-0,2%;4,7%;0,4%;0,2%;5,2%;4,9%;-4,9%;No;;;;;;;;
O Openbaar bestuur en overheidsdiensten-2025Q1-10 tot 100 werkzame personen;O Openbaar bestuur en overheidsdiensten;O;2025Q1;Gemeente Utrecht;30280353;6,1;6;6,05; € 4.431 ; € 53.172 ; € 2.605.428 ;10 tot 100 werkzame personen;39;1995;10;1998;49;Men;Young;29; € 80.295,00 ; € 69.821,74 ;2,68%;3,08%; € 1.638,67 ;315;15%;5,66; € 169.798,77 ;6,52%; € 3.465,28 ; € 89.503,77 ; € 1.826,61 ;111%;-3,0%;6,1%;3,4%;0,4%;6,5%;3,1%;-111,5%;No;;;;;;;;
P Onderwijs-2025Q1-10 tot 100 werkzame personen;P Onderwijs;P;2025Q1;Universiteit van Amsterdam;34370207;5,7;5,6;5,65; € 3.599 ; € 43.188 ; € 2.116.212 ;10 tot 100 werkzame personen;39;1995;10;1998;49;Men;Young;29; € 94.108,56 ; € 81.833,53 ;3,87%;4,45%; € 1.920,58 ;315;15%;5,34; € 130.253,59 ;6,16%; € 2.658,24 ; € 36.145,03 ; € 737,65 ;38%;-1,5%;5,6%;1,7%;0,3%;6,2%;4,4%;-38,4%;No;;;;;;;;
Q Gezondheids- en welzijnszorg-2025Q1-10 tot 100 werkzame personen;Q Gezondheids- en welzijnszorg;Q;2025Q1;Vrije Universiteit;53815211;7,9;7,4;7,65; € 2.847 ; € 34.164 ; € 1.674.036 ;10 tot 100 werkzame personen;39;1995;10;1998;49;Men;Young;29; € 90.393,36 ; € 78.602,92 ;4,70%;5,40%; € 1.844,76 ;315;15%;6,95; € 134.119,55 ;8,01%; € 2.737,13 ; € 43.726,19 ; € 892,37 ;48%;-2,3%;7,3%;2,6%;0,3%;8,0%;5,4%;-48,4%;No;;;;;;;;
R Cultuur, sport en recreatie-2025Q1-10 tot 100 werkzame personen;R Cultuur, sport en recreatie;R;2025Q1;Rijksmuseum;41169522;5,2;4,6;4,9; € 2.275 ; € 27.300 ; € 1.337.700 ;10 tot 100 werkzame personen;39;1995;10;1998;49;Men;Young;29; € 62.796,84 ; € 54.605,95 ;4,08%;4,69%; € 1.281,57 ;315;15%;4,38; € 67.690,15 ;5,06%; € 1.381,43 ; € 4.893,31 ; € 99,86 ;8%;-0,3%;4,6%;0,5%;0,2%;5,1%;4,7%;-7,8%;No;;;;;;;;
S Overige dienstverlening-2025Q1-10 tot 100 werkzame personen;S Overige dienstverlening;S;2025Q1;ANWB;17097279;5,4;5;5,2; € 2.929 ; € 35.148 ; € 1.722.252 ;10 tot 100 werkzame personen;39;1995;10;1998;49;Men;Young;29; € 92.705,76 ; € 80.613,70 ;4,68%;5,38%; € 1.891,95 ;315;15%;4,30; € 85.409,44 ;4,96%; € 1.743,05 ; € -7.296,32 ; € -148,90 ;-8%;0,4%;4,4%;-0,3%;0,1%;5,0%;5,4%;7,9%;Yes;;;;;;;;
A Landbouw, bosbouw en visserij-2025Q1-10 tot 100 werkzame personen;A Landbouw, bosbouw en visserij;A;2025Q1;vof J.J.C. de Man;80496377;3,7;3,6;3,65; € 2.522 ; € 30.264 ; € 1.482.936 ;10 tot 100 werkzame personen;10;1998;39;1995;49;Woman;Young;29; € 81.984,84 ; € 71.291,17 ;4,81%;5,53%; € 1.673,16 ;315;15%;3,55; € 60.815,34 ;4,10%; € 1.241,13 ; € -21.169,50 ; € -432,03 ;-26%;1,3%;3,5%;-1,3%;0,0%;4,1%;5,5%;25,8%;Yes;;;;;;;;
B Delfstoffenwinning-2025Q1-10 tot 100 werkzame personen;B Delfstoffenwinning;B;2025Q1;RGV Delfstoffen B.V.;8112449;4,7;4,8;4,75; € 6.393 ; € 76.716 ; € 3.759.084 ;10 tot 100 werkzame personen;10;1998;39;1995;49;Woman;Young;29; € 155.868,36 ; € 135.537,70 ;3,61%;4,15%; € 3.180,99 ;315;15%;4,49; € 194.269,12 ;5,17%; € 3.964,68 ; € 38.400,76 ; € 783,69 ;25%;-0,9%;4,6%;1,0%;0,1%;5,2%;4,1%;-24,6%;No;;;;;;;;
C Industrie-2025Q1-10 tot 100 werkzame personen;C Industrie;C;2025Q1;Philips Nederland B.V.;17001910;6,5;6,1;6,3; € 4.093 ; € 49.116 ; € 2.406.684 ;10 tot 100 werkzame personen;10;1998;39;1995;49;Woman;Young;29; € 81.080,52 ; € 70.504,80 ;2,93%;3,37%; € 1.654,70 ;315;15%;5,82; € 161.374,98 ;6,71%; € 3.293,37 ; € 80.294,46 ; € 1.638,66 ;99%;-2,9%;6,1%;3,2%;0,3%;6,7%;3,4%;-99,0%;No;;;;;;;;
D Energievoorziening-2025Q1-10 tot 100 werkzame personen;D Energievoorziening;D;2025Q1;Essent N.V.;17115973;5;4,8;4,9; € 5.243 ; € 62.916 ; € 3.082.884 ;10 tot 100 werkzame personen;10;1998;39;1995;49;Woman;Young;29; € 126.817,08 ; € 110.275,72 ;3,58%;4,11%; € 2.588,10 ;315;15%;4,51; € 160.062,57 ;5,19%; € 3.266,58 ; € 33.245,49 ; € 678,48 ;26%;-0,9%;4,7%;1,1%;0,2%;5,2%;4,1%;-26,2%;No;;;;;;;;
E Waterbedrijven en afvalbeheer-2025Q1-10 tot 100 werkzame personen;E Waterbedrijven en afvalbeheer;E;2025Q1;Vitens N.V.;5069581;6,7;6,3;6,5; € 3.934 ; € 47.208 ; € 2.313.192 ;10 tot 100 werkzame personen;10;1998;39;1995;49;Woman;Young;29; € 117.033,96 ; € 101.768,66 ;4,40%;5,06%; € 2.388,45 ;315;15%;5,74; € 152.929,85 ;6,61%; € 3.121,02 ; € 35.895,89 ; € 732,57 ;31%;-1,3%;6,5%;2,1%;0,8%;6,6%;5,1%;-30,7%;No;;;;;;;;
F Bouwnijverheid-2025Q1-10 tot 100 werkzame personen;F Bouwnijverheid;F;2025Q1;BAM Groep nv;30058019;5,3;4,8;5,05; € 4.197 ; € 50.364 ; € 2.467.836 ;10 tot 100 werkzame personen;10;1998;39;1995;49;Woman;Young;29; € 104.288,64 ; € 90.685,77 ;3,67%;4,23%; € 2.128,34 ;315;15%;4,08; € 116.163,78 ;4,71%; € 2.370,69 ; € 11.875,14 ; € 242,35 ;11%;-0,4%;4,6%;0,9%;0,5%;4,7%;4,2%;-11,4%;No;;;;;;;;
G Handel-2025Q1-10 tot 100 werkzame personen;G Handel;G;2025Q1;Ahold Delhaize;34166262;5;4,6;4,8; € 2.534 ; € 30.408 ; € 1.489.992 ;10 tot 100 werkzame personen;10;1998;39;1995;49;Woman;Young;29; € 62.561,64 ; € 54.401,43 ;3,65%;4,20%; € 1.276,77 ;315;15%;4,61; € 79.243,11 ;5,32%; € 1.617,21 ; € 16.681,47 ; € 340,44 ;27%;-1,0%;4,6%;0,9%;0,0%;5,3%;4,2%;-26,7%;No;;;;;;;;
